parameter_code,category,entity,current_code_value,unit,source_value_or_range,source_status,source_type,value_match_to_source,source_reference,source_url,formula_or_derivation,notes,enzyme,reaction_id,substrate,value_error,error_unit,model_usage,original_file,record_id,name_zh,meaning_zh,evidence_grade,v9_value,v9_unit,v9_input_mode,v9_active,v9_model_usage,etot_scan_scope,scan_method,scan_values,scan_unit,baseline_capacity,capacity_unit,capacity_formula,v9_change,v9_validation_source,report_note_zh
Km.GPPS_DMAPP,Km,GPPS_DMAPP (generic EC 2.5.1.1 proxy),0.39,mM,0.39 mM,verified_from_uploaded_xlsx_as_generic_GPPS_proxy,uploaded_xlsx_literature_summary,match,"Km.xlsx, 工作表1, GPPS/DMAPP; BRENDA EC 2.5.1.1",https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.1#KM%20VALUE%20[mM],,Updated from Km.xlsx. This is a generic EC 2.5.1.1 GPPS value; it is not demonstrated to be specific to the engineered IspA S80F enzyme.,GPPS,GPPS_S80F_het,DMAPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P011,GPPS 對 DMAPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,C,0.39,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,Km(1).xlsx，工作表1；2026-07-26 重新核對,Updated from Km.xlsx. This is a generic EC 2.5.1.1 GPPS value; it is not demonstrated to be specific to the engineered IspA S80F enzyme.
Km.GPPS_IPP,Km,GPPS_IPP (M. tuberculosis EC 2.5.1.1 proxy),0.163,mM,0.163 mM (Mycobacterium tuberculosis),verified_from_uploaded_xlsx_as_generic_GPPS_proxy,uploaded_xlsx_literature_summary,match,"Km.xlsx, 工作表1, GPPS/IPP; BRENDA EC 2.5.1.1; Mycobacterium tuberculosis",https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.1#KM%20VALUE%20[mM],,"Updated from Km.xlsx; assay note: 50 mM sodium phosphate, pH 7.0, 37°C. The same source row reports kcat = 0.012 s^-1, but that organism-specific value is not combined with the DMAPP-associated 1.4 s^-1 value to create one enzyme Vmax.",GPPS,GPPS_S80F_het,IPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P012,GPPS 對 IPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,C,0.163,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,Km(1).xlsx，工作表1；2026-07-26 重新核對,"Updated from Km.xlsx; assay note: 50 mM sodium phosphate, pH 7.0, 37°C. The same source row reports kcat = 0.012 s^-1, but that organism-specific value is not combined with the DMAPP-associated 1.4 s^-1 value to create one enzyme Vmax."
Km.LS_GPP,Km,LS_GPP,0.0018,mM,0.0018,verified_from_uploaded_xlsx_and_BRENDA,literature_summary,match,"BRENDA literature summary for EC 4.2.3.16, Mentha sp.",https://www.brenda-enzymes.org/literature.php?e=4.2.3.16&r=210768,,Updated in V5 to match uploaded xlsx/BRENDA value exactly for Mentha sp.,LS,LIMS_MS_het,GPP,,,Recorded for future Michaelis-Menten mode; not used by V8 capacityOnly mode.,Km.xlsx,P013,檸檬烯合成酶對 GPP 的 Km,底物濃度達到半最大反應速率時的濃度；第九版第一階段仍不套用 Michaelis–Menten 飽和項。,B,0.0018,mM,registry_for_future_mode,false,保留供未來 Michaelis–Menten 模式；V9 第一階段 Etot 容量掃描不使用。,,,,,,,,數值保留；明確標示第一階段不生效。,"BRENDA literature summary for EC 4.2.3.16, Mentha sp.",Updated in V5 to match uploaded xlsx/BRENDA value exactly for Mentha sp.
kcat.DXS,kcat,DXS,4.1,s^-1,4.10 s^-1 (from 0.25×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",DXS,DXS_T7_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P014,DXS 催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,4.1,s^-1,registry_runtime_input,true,V9 執行時與對應 Etot 相乘，重新計算 Vmax 與 capacityFlux。,,,,,,,,由僅供推導改為 V9 執行時直接使用。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.DXR,kcat,DXR/IspC,116.0,s^-1,116 s^-1 (from 6.96×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",DXR,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P015,DXR/IspC 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,116.0,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IspD,kcat,IspD,49.0,s^-1,49.0 s^-1 (from 2.94×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IspD,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P016,IspD 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,49.0,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IspE,kcat,IspE,16.8,s^-1,16.8 s^-1 (from 1.01×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IspE,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P017,IspE 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,16.8,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IspF,kcat,IspF,1.0,s^-1,1.00 s^-1 (from 0.06×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IspF,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P018,IspF 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,1.0,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IspG,kcat,HDS/IspG,0.4,s^-1,0.40 s^-1 (from 0.024×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IspG,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P019,HDS/IspG 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,0.4,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IspH,kcat,HDR/IspH,18.8,s^-1,18.8 s^-1 (from 1.13×10^3 min^-1),literature_review_summary,review_or_summary_table,match,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IspH,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P020,HDR/IspH 的催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,18.8,s^-1,registry_inactive,false,V9 第一階段不使用；目前沒有對應的 T7 容量上限接到 dFBA。,,,,,,,,保留來源數值，但明確標示首階段不生效。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.IDI,kcat,IDI,0.33,s^-1,0.08–0.33 s^-1 range; current code uses upper bound 0.33,literature_review_summary,review_or_summary_table,approx_or_range,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1",https://backend.orbit.dtu.dk/ws/portalfiles/portal/197550694/s12934_019_1235_5.pdf,,"Source is a curated summary table, not always the primary assay paper.",IDI,IDI_T7_IPP_to_DMAPP_het;IDI_T7_DMAPP_to_IPP_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,"Volke et al. 2019, Microbial Cell Factories 18:192",P021,IDI 催化速率,單一酵素活性位點每秒可完成的催化循環數。,B,0.33,s^-1,registry_runtime_input,true,V9 執行時與對應 Etot 相乘，重新計算 Vmax 與 capacityFlux。,,,,,,,,由僅供推導改為 V9 執行時直接使用。,"Volke et al. 2019, Microbial Cell Factories 18:192, Table 1","Source is a curated summary table, not always the primary assay paper."
kcat.GPPS,kcat,GPPS (generic EC 2.5.1.1 proxy; not S80F-specific),1.4,s^-1,1.4 s^-1 (DMAPP-associated GPPS entry),verified_from_uploaded_xlsx_as_generic_GPPS_proxy,uploaded_xlsx_literature_summary,match,"Km.xlsx, 工作表1, GPPS/DMAPP; BRENDA EC 2.5.1.1",https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.1#KM%20VALUE%20[mM],,Terminal capacity uses the primary DMAPP-associated GPPS kcat = 1.4 s^-1. The IPP row's 0.012 s^-1 value is from M. tuberculosis and is retained in gpps_source_raw but not merged into this single-enzyme kcat.,GPPS,GPPS_S80F_het,,,,Used to derive Vmax.GPPS for V8 capacityOnly mode.,Km.xlsx,P022,GPPS 催化速率（代理值）,每個 GPPS 活性位點每秒可完成的反應次數；目前使用通用 EC 2.5.1.1 代理值。,C,1.4,s^-1,registry_runtime_input,true,V9 執行時與對應 Etot 相乘，重新計算 Vmax 與 capacityFlux。,,,,,,,,由僅供推導改為 V9 執行時直接使用。,Km(1).xlsx，工作表1；2026-07-26 重新核對,Terminal capacity uses the primary DMAPP-associated GPPS kcat = 1.4 s^-1. The IPP row's 0.012 s^-1 value is from M. tuberculosis and is retained in gpps_source_raw but not merged into this single-enzyme kcat.
kcat.LS,kcat,LS (Mentha spicata),0.0905,s^-1,,placeholder_unverified,placeholder,not_applicable,No verified primary/summary source linked in current project files,,,Current code value needs source re-check against Mentha spicata limonene synthase literature.,LS,LIMS_MS_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,unverified placeholder (no source file),P023,檸檬烯合成酶催化速率（暫定）,每個 LS 活性位點每秒可完成的反應次數；目前缺少已核對來源。,D,0.0905,s^-1,registry_runtime_input,true,V9 執行時與對應 Etot 相乘，重新計算 Vmax 與 capacityFlux。,,,,,,,,由僅供推導改為 V9 執行時直接使用。,No verified primary/summary source linked in current project files,Current code value needs source re-check against Mentha spicata limonene synthase literature.
Etot.DXS,Etot,DXS,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,DXS,DXS_T7_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P024,DXS 總酵素濃度,每公升細胞內液中的 DXS 總量；第九版會直接用它換算酵素容量。,D,1.0,uM,registry_baseline_plus_scenario_override,true,V9 第一階段 OAT Etot 掃描的基準值與覆寫目標。,phase1_OAT_active,log-scale factors 0.01;0.1;1;10;100，其他 Etot 固定基準,0.01;0.1;1;10;100,uM,0.04428,mmol/gDW/h,capacityFlux = 3.6 × kcat[s^-1] × Etot[uM] × conv.cellVolume_L_per_gDW,V9 改為真正生效的掃描輸入，不再只改表內 Etot 而沿用固定 Vmax。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,僅限制 T7 額外 DXS；原生 DXS 不受這個 Etot 上限控制。
Etot.DXR,Etot,DXR/IspC,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,DXR,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P025,DXR/IspC 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,1.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IspD,Etot,IspD,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IspD,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P026,IspD 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,1.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IspE,Etot,IspE,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IspE,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P027,IspE 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,1.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IspF,Etot,IspF,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IspF,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P028,IspF 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,1.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IspG,Etot,HDS/IspG,3.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IspG,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P029,HDS/IspG 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,3.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IspH,Etot,HDR/IspH,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IspH,,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P030,HDR/IspH 的總酵素濃度,模型假設的總酵素濃度；不是目前已量測的生理常數。,D,1.0,uM,registry_inactive,false,V9 第一階段不掃描；目前沒有接到 dynamicFBA_T7simple003 的容量上限。,excluded_not_connected,,,,,,,保留基準值但排除掃描，避免產生完全重複的 dFBA。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,Simulation choice for current run; not a literature constant.
Etot.IDI,Etot,IDI,1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,IDI,IDI_T7_IPP_to_DMAPP_het;IDI_T7_DMAPP_to_IPP_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P031,IDI 總酵素濃度,每公升細胞內液中的 IDI 總量；目前正、逆反應各使用同一個完整容量上限。,D,1.0,uM,registry_baseline_plus_scenario_override,true,V9 第一階段 OAT Etot 掃描的基準值與覆寫目標。,phase1_OAT_active,log-scale factors 0.01;0.1;1;10;100，其他 Etot 固定基準,0.01;0.1;1;10;100,uM,0.003564,mmol/gDW/h,capacityFlux = 3.6 × kcat[s^-1] × Etot[uM] × conv.cellVolume_L_per_gDW,V9 改為真正生效的掃描輸入，不再只改表內 Etot 而沿用固定 Vmax。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,IDI 正、逆反應目前各獲得完整容量；須以總使用率檢查是否重複使用同一酵素池。
Etot.GPPS,Etot,GPPS(IspA S80F proxy),1.0,uM,,scenario_value,user_set_in_script,not_applicable,Current simulation script,,,Simulation choice for current run; not a literature constant.,GPPS,GPPS_S80F_het,,,,Used to derive Vmax rows where applicable; V8 capacityOnly reads Vmax directly.,LimoneneCOBRA008.m,P032,GPPS 總酵素濃度,GPPS 的有效總量；因 kcat 不是 IspA S80F 的直接測量，反推值應稱為 effective Etot。,D,1.0,uM,registry_baseline_plus_scenario_override,true,V9 第一階段 OAT Etot 掃描的基準值與覆寫目標。,phase1_OAT_active,log-scale factors 0.01;0.1;1;10;100，其他 Etot 固定基準,0.01;0.1;1;10;100,uM,0.01512,mmol/gDW/h,capacityFlux = 3.6 × kcat[s^-1] × Etot[uM] × conv.cellVolume_L_per_gDW,V9 改為真正生效的掃描輸入，不再只改表內 Etot 而沿用固定 Vmax。,LimoneneCOBRA008.m；dynamicFBA_T7simple003.m,kcat 為通用 GPPS 代理值，並非 IspA S80F 直接量測；反推結果是 effective Etot。
